Filename,RelativePath,FileSize_KB,PageCount,WordCount_Est,TextDensity_CharPerPage,IsLoadBearing,SupportedQueries
03.20.26-National-Policy-Framework-for-Artificial-Intelligence-Legislative-Recommendations.pdf,03.20.26-National-Policy-Framework-for-Artificial-Intelligence-Legislative-Recommendations.pdf,233.74,4,1291,2386.5,False,
10 Ai uses cases_Accelerating automotive Embedded dev.pdf,10 Ai uses cases_Accelerating automotive Embedded dev.pdf,5640.12,24,3938,1157.2,False,
10 core concepts GRC.pdf,10 core concepts GRC.pdf,3795.53,4,524,543.0,False,
10 pivot into Cybersecurity Audit and GRC.pdf,10 pivot into Cybersecurity Audit and GRC.pdf,3795.53,4,524,543.0,False,
2025-Cloud-Security-Report-Fortinet.pdf,2025-Cloud-Security-Report-Fortinet.pdf,1000.9,22,5031,1684.7,False,
2026_10_K_Checklist__November_2025____Intelligize.pdf,2026_10_K_Checklist__November_2025____Intelligize.pdf,1537.81,4,1309,2265.5,False,
5-big-myths-of-ai-and-machine-learning-debunked.pdf,5-big-myths-of-ai-and-machine-learning-debunked.pdf,4764.58,9,4108,2798.7,False,
6 pillars for AI-ready security.pdf,6 pillars for AI-ready security.pdf,11641.37,9,728,313.6,False,
7-Step-Guide-to-Risk-and-Compliance-EN[1].pdf,7-Step-Guide-to-Risk-and-Compliance-EN[1].pdf,1568.02,12,2746,1502.1,False,
7_AI_Skills_Every_Cyber_Pro_Needs_1762817722.pdf,7_AI_Skills_Every_Cyber_Pro_Needs_1762817722.pdf,4056.76,3,123,248.0,False,
7_AI_Threats_Every_Employee_Needs_to_Recognize.pdf,7_AI_Threats_Every_Employee_Needs_to_Recognize.pdf,14964.34,9,757,350.8,False,
7_Skills_for_GRC_Analysts.pdf,7_Skills_for_GRC_Analysts.pdf,14717.27,9,718,491.7,False,
93-annex-a-controls-pdf.pdf,93-annex-a-controls-pdf.pdf,4.49,4,612,1073.0,False,
9_Steps_to_IT_Audit_Readiness_1760838534.pdf,9_Steps_to_IT_Audit_Readiness_1760838534.pdf,9855.67,22,4412,1199.4,False,
ace cybersecurity Grc analyst.pdf,ace cybersecurity Grc analyst.pdf,241.74,7,190,216.0,False,
AI Audit Booklet.pdf,AI Audit Booklet.pdf,466.48,21,8148,2596.4,False,
AI cheat sheet.pdf,AI cheat sheet.pdf,653.02,1,232,1368.0,False,
AI Iso 42001 Artificial Intelligence Framework.pdf,AI Iso 42001 Artificial Intelligence Framework.pdf,5943.78,41,8992,1714.1,True,"11,27"
AI meets Identity Trends.pdf,AI meets Identity Trends.pdf,1879.52,16,2545,1006.3,False,
Ai prompts exposure.pdf,Ai prompts exposure.pdf,225.78,8,1109,989.8,False,
AI RMF 1.0.pdf,AI RMF 1.0.pdf,1900.51,48,15914,2218.7,True,"1,4,5,8,20"
AI security assessment (microsoft Security ).pdf,AI security assessment (microsoft Security ).pdf,498.97,20,4782,1594.7,False,
AI Security Risk Assessment.pdf,AI Security Risk Assessment.pdf,498.97,20,4782,1594.7,False,
AI Security Risk Assessment_.pdf,AI Security Risk Assessment_.pdf,499.07,20,4782,1594.7,False,
AI threats for Ciso.pdf,AI threats for Ciso.pdf,7953.03,8,813,398.4,False,
AI-Agents-The-Final-Frontier-of-the-Enterprise.pdf,AI-Agents-The-Final-Frontier-of-the-Enterprise.pdf,3467.45,10,2357,1633.8,False,
ai-shadow-datapdf.pdf,ai-shadow-datapdf.pdf,1918.11,16,3720,1445.6,False,
AI_Benefits_for_Cybersecurity_Professionals_1763171545.pdf,AI_Benefits_for_Cybersecurity_Professionals_1763171545.pdf,312.51,5,723,1203.4,False,
AI_Chapter_Auth0_Customer_Identity_Trends_Report_2025_EN__1_.pdf,AI_Chapter_Auth0_Customer_Identity_Trends_Report_2025_EN__1_.pdf,1879.52,16,2545,1006.3,False,
AI_Data_and_Scale_Transforming_Cyber_Defense_1760960000.pdf,AI_Data_and_Scale_Transforming_Cyber_Defense_1760960000.pdf,1999.03,6,0,0.8,False,
AI_Governance_1762957037.pdf,AI_Governance_1762957037.pdf,75.11,-1,0,0,False,
AI_is_more_than_business_hype_See_the_real_results__.pdf,AI_is_more_than_business_hype_See_the_real_results__.pdf,3771.17,33,6749,1188.6,False,
AI_Security_Risks_1762035527.pdf,AI_Security_Risks_1762035527.pdf,498.97,20,4782,1594.7,False,
Aligning Risk Appetite to business Goals.pdf,Aligning Risk Appetite to business Goals.pdf,131.71,5,1093,1552.0,False,
Alpha_Tech_Infosec_Objectives_And_Plan_Document_1762876981.pdf,Alpha_Tech_Infosec_Objectives_And_Plan_Document_1762876981.pdf,446.77,17,3145,1416.5,False,
America AI action Plan.pdf,America AI action Plan.pdf,509.39,28,9727,2502.8,False,
annex A.5 (ISO 27001).pdf,annex A.5 (ISO 27001).pdf,1440.13,11,405,242.9,False,
An_Information_Security_Policy_for_a_healthcare_IT_company_1762876971.pdf,An_Information_Security_Policy_for_a_healthcare_IT_company_1762876971.pdf,351.09,10,2378,1818.7,False,
Application_Audit_Checklist_1769707776.pdf,Application_Audit_Checklist_1769707776.pdf,4246.37,10,3362,2620.1,False,
Asset_Based_Risk_Assessment_.pdf,Asset_Based_Risk_Assessment_.pdf,425.26,11,451,262.1,False,
Audit_Control_Checklist_1760838801.pdf,Audit_Control_Checklist_1760838801.pdf,515.2,13,3635,2110.3,True,43
B0DF8Z5HTT.pdf,B0DF8Z5HTT.pdf,46494.44,229,26316,746.0,False,
Best GRC Prompt for Beginners.pdf,Best GRC Prompt for Beginners.pdf,1551.65,22,3809,1213.8,False,
best-practices-to-elevate-your-policy-and-procedure-management-assets.pdf,best-practices-to-elevate-your-policy-and-procedure-management-assets.pdf,524.23,4,35,25.5,False,
Building a GRC Program Using ISO 27001_ A Real-Lif.pdf,Building a GRC Program Using ISO 27001_ A Real-Lif.pdf,277.02,3,460,1175.0,False,
Business_Continuity_Meets_Information_Security.pdf,Business_Continuity_Meets_Information_Security.pdf,442.12,13,801,431.8,False,
Carrossel-LinkedIn-AD1-InsideCouncil-powerfront-1080x1350_v2_1212225_compressedpdf.pdf,Carrossel-LinkedIn-AD1-InsideCouncil-powerfront-1080x1350_v2_1212225_compressedpdf.pdf,303.57,3,222,158.0,False,
CIS control V8.1.pdf,CIS control V8.1.pdf,1375.17,146,37650,1874.0,False,
CISA Revision Book.pdf,CISA Revision Book.pdf,6927.45,133,34612,1674.1,False,
cl-4-considerations-for-implementing-ai-technology-checklist-202405-1198605-en.pdf,cl-4-considerations-for-implementing-ai-technology-checklist-202405-1198605-en.pdf,92.31,2,934,3117.5,False,
Cloud Security Practical Guide to Security in the AWS Cloud.pdf,Cloud Security Practical Guide to Security in the AWS Cloud.pdf,18159.96,365,101503,1882.2,False,
cloud-data-engineering-for-dummies.pdf,cloud-data-engineering-for-dummies.pdf,2101.52,52,14799,1909.8,False,
CloudSecurityPlaybookVol1_2025.pdf,CloudSecurityPlaybookVol1_2025.pdf,1481.01,95,22716,1769.2,False,
CloudSecurityPlaybookVol2.pdf,CloudSecurityPlaybookVol2.pdf,1004.15,44,9329,1648.3,False,
Cloud_Security_for_Dummies_Oracle_3rdEdition.pdf,Cloud_Security_for_Dummies_Oracle_3rdEdition.pdf,4257.2,63,10002,1124.5,False,
complete guide to ISO 27001 risk assessment.pdf,complete guide to ISO 27001 risk assessment.pdf,725.36,38,12648,2090.0,False,
Compliance ISO  SOC Audit.pdf,Compliance ISO  SOC Audit.pdf,195.14,1,3008,21350.0,True,31
Comprehensive CISO Program Document Guide.pdf,Comprehensive CISO Program Document Guide.pdf,548.18,45,8390,1329.2,False,
Control Implementation Strategy.pdf,Control Implementation Strategy.pdf,662.18,5,1208,1776.0,False,
Copy of AI Workbook for cybersecutity Learners.pdf,Copy of AI Workbook for cybersecutity Learners.pdf,739.14,61,12100,1244.2,False,
COSO (RMF).pdf,COSO (RMF).pdf,266.0,9,629,254.7,False,
CYbersecurity Hiring Manager Hnadbook.pdf,CYbersecurity Hiring Manager Hnadbook.pdf,228.99,35,11818,2050.6,False,
cybersecurity incident response plan.pdf,cybersecurity incident response plan.pdf,1351.04,64,15968,1792.8,False,
data-preparation-for-dummies_1.pdf,data-preparation-for-dummies_1.pdf,2703.59,51,13005,1727.4,False,
Database_Security_Audit_Checklist_1760838393.pdf,Database_Security_Audit_Checklist_1760838393.pdf,386.66,6,1588,1999.7,False,
Day in Life of a GRC analyst.pdf,Day in Life of a GRC analyst.pdf,246.47,3,764,1877.7,False,
DFIR cheat sheet.pdf,DFIR cheat sheet.pdf,5849.61,51,23096,3331.0,False,
enterprise_risk_management_frameworks[1].pdf,enterprise_risk_management_frameworks[1].pdf,343.96,29,23609,3669.1,False,
EU AI ACT 2024_Doc.pdf,EU AI ACT 2024_Doc.pdf,2522.77,144,115766,4334.2,True,"17,20,21"
From static risk to Dynamic Insight.pdf,From static risk to Dynamic Insight.pdf,436.29,8,433,402.4,False,
Gap Assessment Checklist Template.pdf,Gap Assessment Checklist Template.pdf,273.36,3,220,922.3,False,
GDPR Checklist.pdf,GDPR Checklist.pdf,106.36,5,1714,2202.4,True,"25,28"
GDPR-Third-Party-Compliance-Checklistpdf.pdf,GDPR-Third-Party-Compliance-Checklistpdf.pdf,1837.53,13,3284,1819.4,True,33
Generative-AI-and-LLMs-for-Dummies.pdf,Generative-AI-and-LLMs-for-Dummies.pdf,1920.42,52,14338,1885.5,False,
Governance and Incident approach.pdf,Governance and Incident approach.pdf,1927.42,10,1043,832.9,False,
Grc Checklist.pdf,Grc Checklist.pdf,345.54,12,3095,3002.3,True,33
GRC Cyersecurity Guidebook.pdf,GRC Cyersecurity Guidebook.pdf,448.7,12,1113,679.5,False,
GRC Engineering for AWS V2.pdf,GRC Engineering for AWS V2.pdf,17820.4,286,48711,1355.6,False,
GRC Engineering Job Description.pdf,GRC Engineering Job Description.pdf,215.05,6,305,359.3,False,
GRC Enginerring Starter Pack.pdf,GRC Enginerring Starter Pack.pdf,29881.12,12,996,519.6,False,
Grc Roadmap Booklet!.pdf,Grc Roadmap Booklet!.pdf,35838.17,10,506,401.0,False,
GRC STAR Scenarios for Interviews.pdf,GRC STAR Scenarios for Interviews.pdf,827.21,14,2340,1064.0,True,39
GRC_Cybersecurity_Guidebook.pdf,GRC_Cybersecurity_Guidebook.pdf,448.56,12,1113,679.5,False,
GRC_Cybersecurity_Guidebook_1755467296.pdf,GRC_Cybersecurity_Guidebook_1755467296.pdf,7.69,-1,0,0,False,
GRC_Excellence_RoadMap.pdf,GRC_Excellence_RoadMap.pdf,2643.68,30,2316,573.2,True,35
GRC_MBA_1762664741.pdf,GRC_MBA_1762664741.pdf,7.67,-1,0,0,False,
GRC_Practice_Projects_for_Your_Portfolio_1765777714.pdf,GRC_Practice_Projects_for_Your_Portfolio_1765777714.pdf,578.03,11,594,342.0,False,
Harnessing-the-Power-of-Generative-AI-and-AI-Agents.pdf,Harnessing-the-Power-of-Generative-AI-and-AI-Agents.pdf,307.11,12,4536,2472.9,False,
iia-whitepaper_resourcing-the-internal-audit-function.pdf,iia-whitepaper_resourcing-the-internal-audit-function.pdf,199.29,7,3417,3391.9,False,
Implementation Guide ISO 27001.pdf,Implementation Guide ISO 27001.pdf,2561.2,72,29497,2947.8,True,37
Implementation Guide ISO_IEC 27001_2022.pdf,Implementation Guide ISO_IEC 27001_2022.pdf,2561.2,72,29497,2947.8,True,37
Improving Security culture and awareness(SANS).pdf,Improving Security culture and awareness(SANS).pdf,14831.21,32,8615,1745.0,False,
information security standards.pdf,information security standards.pdf,1638.48,13,680,351.3,False,
Information_Security_Risk_Management_Guide__1756305218.pdf,Information_Security_Risk_Management_Guide__1756305218.pdf,26.25,-1,0,0,False,
Internal_Audit_Procedure.pdf,Internal_Audit_Procedure.pdf,1007.57,30,5013,1218.7,False,
IPcom_White_Paper_Responsible_AI_FINAL_041024.pdf,IPcom_White_Paper_Responsible_AI_FINAL_041024.pdf,4083.71,18,4744,1842.7,False,
ISO 27001 Rist Treatment Plan.pdf,ISO 27001 Rist Treatment Plan.pdf,192.61,14,1513,874.2,False,
ISO 27001-2022 BookLet.pdf,ISO 27001-2022 BookLet.pdf,435.31,26,6748,2199.8,False,
iso 27001mandstory documentation.pdf,iso 27001mandstory documentation.pdf,15373.22,8,206,202.5,False,
ISO-IEC-42001-2023.pdf,ISO-IEC-42001-2023.pdf,979.19,14,5367,2677.6,True,11
ISO27001vsMoneyHiest.pdf,ISO27001vsMoneyHiest.pdf,21100.21,13,450,220.2,True,14
ISO_27001_2022_KPI_Metrics.pdf,ISO_27001_2022_KPI_Metrics.pdf,464.99,17,2275,1211.2,False,
ISO_27001_2022_mapped_to_infosec_domains.pdf,ISO_27001_2022_mapped_to_infosec_domains.pdf,937.12,26,5455,1592.0,True,13
ISO_27001_2022_the_significance_of_Clause_4.pdf,ISO_27001_2022_the_significance_of_Clause_4.pdf,39875.52,7,0,0.9,False,
ISO_27001_clause_wise_checklist_1758375593.pdf,ISO_27001_clause_wise_checklist_1758375593.pdf,519.7,19,2560,1015.4,True,14
ISO_27001_Readiness_checklist__1756215124.pdf,ISO_27001_Readiness_checklist__1756215124.pdf,529.89,9,2135,1651.9,False,
IT_General_Controls_.pdf,IT_General_Controls_.pdf,318.48,6,1596,1790.0,True,34
