PDF_Filename,Supported_Query_Count,Supported_Query_IDs
Notes from Study +.pdf,8,"3,13,17,25,34,35,39,47"
AI RMF 1.0.pdf,5,"1,4,5,8,20"
EU AI ACT 2024_Doc.pdf,3,"17,20,21"
AI Iso 42001 Artificial Intelligence Framework.pdf,2,"11,27"
GDPR Checklist.pdf,2,"25,28"
Nist Csf 2.0.pdf,1,3
ISO-IEC-42001-2023.pdf,1,11
ISO_27001_2022_mapped_to_infosec_domains.pdf,1,13
ISO_27001_clause_wise_checklist_1758375593.pdf,1,14
ISO27001vsMoneyHiest.pdf,1,14
Third_party_information_security_assessment_checklist.pdf,1,28
Third_party_info_checklist.pdf,1,28
Security plus study guide.pdf,1,31
Compliance ISO  SOC Audit.pdf,1,31
GDPR-Third-Party-Compliance-Checklistpdf.pdf,1,33
Grc Checklist.pdf,1,33
IT_General_Controls_.pdf,1,34
GRC_Excellence_RoadMap.pdf,1,35
Risk Appetite Explained Guide.pdf,1,37
Implementation Guide ISO 27001.pdf,1,37
Implementation Guide ISO_IEC 27001_2022.pdf,1,37
GRC STAR Scenarios for Interviews.pdf,1,39
Audit_Control_Checklist_1760838801.pdf,1,43
the-modern-analysts-guide-to-preparing-ai-ready-data-en.pdf,1,43
Risk_Heat_Map_1755018474.pdf,1,47
